832,720,905,626.997185,667.697620,793.302393,
775,720,905,529.092216,627.111292,805.584431,
832,674,905,594.421053,539.303017,799.625301,
832,720,848,601.639986,670.653534,578.200245,
775,674,905,495.727491,497.652817,813.359928,
832,674,848,568.740845,540.757179,582.257318,
775,720,848,502.346849,630.297232,588.710022,
775,674,848,467.539787,497.811985,592.872238,
721,674,848,387.743092,464.070082,600.986338,
775,628,848,439.351320,391.814375,595.837498,
775,674,791,443.609715,496.786928,413.488007,
721,628,848,358.653736,356.857228,604.393768,
775,628,791,416.250563,390.831041,415.511084,
721,674,791,363.240719,463.485384,420.445204,
721,628,791,333.672595,354.768491,421.934938,
666,628,791,267.978024,326.210260,426.743555,
721,582,791,310.051870,269.119287,422.603989,
721,628,733,313.885212,353.221369,277.734160,
666,582,791,243.525910,239.480042,427.799177,
721,582,733,289.508629,266.174364,276.606083,
666,628,733,247.442818,324.625063,281.682587,
666,582,733,222.385812,236.519790,280.980062,
609,582,733,171.960344,214.061356,283.531237,
666,534,733,203.726339,171.035719,280.387478,
666,582,673,206.734300,234.694028,170.967426,
609,534,733,152.478099,147.562194,282.860184,
666,534,673,187.578669,168.090668,169.278727,
609,582,673,155.148783,211.416721,172.372446,
609,534,673,135.587585,144.288111,171.087923,
579,534,673,114.948404,134.918177,171.710339,
609,508,673,127.991462,118.023479,170.634985,
609,534,640,129.020572,143.266487,126.733708,
579,508,673,107.130897,108.436751,171.215305,
609,508,640,120.966911,116.348505,125.747693,
579,534,640,108.178329,133.787227,127.210975,
579,508,640,99.919090,106.573653,126.148677,
548,508,640,83.524904,99.250641,126.845968,
579,480,640,93.703108,84.959431,125.865424,
579,508,606,94.604340,105.863655,89.591951,
548,480,640,76.923347,77.182565,126.359379,
579,480,606,87.909775,83.592529,88.711843,
548,508,606,77.975779,98.381176,90.088987,
548,480,606,71.108050,75.839524,89.177151,
515,480,606,57.344456,69.381752,89.194746,
548,452,606,65.941186,58.498049,88.644056,
548,480,571,66.684318,74.886451,60.620160,
515,452,606,52.122269,52.002740,88.856153,
548,452,571,61.374855,57.359500,59.897742,
515,480,571,53.029680,68.686752,60.877280,
515,452,571,47.544971,50.869246,60.096102,
498,452,571,41.984105,48.165946,59.909668,
515,437,571,45.354714,43.689938,59.809165,
515,452,553,45.678439,50.374484,48.595672,
498,437,571,39.969891,41.181183,59.919372,
515,437,553,43.554444,43.258152,48.364463,
498,452,553,40.366530,47.996035,48.714795,
498,437,553,38.157436,40.730662,48.438463,
478,437,553,32.931900,38.302898,48.483615,
498,419,553,36.020818,33.790200,48.158469,
498,437,532,36.264031,40.190735,37.093532,
478,419,553,30.632613,31.178639,48.023944,
498,419,532,34.168332,33.289318,36.840653,
478,437,532,31.086304,37.828596,37.189577,
478,419,532,28.893247,30.786781,36.862340,
459,419,532,24.793441,28.904287,36.937568,
478,401,532,27.245855,25.379643,36.661587,
478,419,510,27.441025,30.448263,27.650239,
459,401,532,23.054035,23.406410,36.661172,
478,401,510,25.659082,24.886491,27.314394,
